City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
meulaboh,36,100,4.14,96.13,77.32,3.94
cape town,75,87,-33.93,18.42,57.2,19.46
hualmay,24,89,-11.1,-77.61,60.22,4.94
luau,0,80,-10.7,22.23,66.79,4.38
new norfolk,75,51,-42.78,147.06,59.0,17.22
jamestown,0,58,-33.21,138.6,54.37,4.38
calvia,20,94,39.57,2.51,77.0,9.17
bluff,0,45,-23.58,149.07,74.71,6.62
prieska,0,62,-29.67,22.74,36.91,3.49
mendeleyevo,0,82,56.04,37.23,62.6,15.66
ilulissat,20,80,69.22,-51.1,35.6,3.36
tuktoyaktuk,75,80,69.44,-133.03,30.2,14.99
bolobo,48,100,-2.17,16.23,72.64,3.38
grand gaube,40,82,-20.01,57.66,68.0,1.12
kirensk,92,78,57.78,108.12,42.4,6.96
poum,0,87,41.28,20.71,46.63,1.7
mar del plata,0,51,-46.43,-67.52,52.66,20.83
ushuaia,75,52,-54.81,-68.31,44.6,23.04
bredasdorp,88,76,-34.53,20.04,53.6,6.93
broken hill,0,59,-31.97,141.45,58.51,5.61
sao benedito do rio preto,8,74,-3.33,-43.53,78.13,6.96
buraydah,0,27,26.33,43.97,87.8,4.7
nador,88,94,35.17,-2.93,72.48,8.05
upernavik,0,100,72.79,-56.15,37.27,2.93
te anau,44,94,-45.41,167.72,50.32,12.1
ponta do sol,48,94,-20.63,-46.0,59.59,4.72
solok,36,93,-0.79,100.66,70.21,1.7
amapa,75,74,15.09,-87.97,86.0,13.87
faanui,0,100,-16.48,-151.75,79.66,7.18
porosozero,88,84,62.72,32.71,50.77,14.23
atuona,0,100,-9.8,-139.03,79.66,16.13
basco,1,60,40.33,-91.2,75.99,4.7
dikson,0,100,73.51,80.55,34.03,4.5
nikolskoye,90,87,59.7,30.79,50.0,13.42
arlit,0,20,18.74,7.39,75.61,5.73
muros,40,100,42.77,-9.06,60.8,3.36
saint-pierre,0,88,48.95,4.24,61.61,9.17
saint-joseph,92,78,43.56,6.97,72.1,5.82
lorengau,64,100,-2.02,147.27,82.99,15.35
castro,92,92,-42.48,-73.76,46.54,3.83
faya,0,28,18.39,42.45,71.6,4.7
mataura,8,76,-46.19,168.86,58.24,16.24
rikitea,80,100,-23.12,-134.97,73.72,11.77
hanzhong,92,99,33.08,107.03,60.04,3.04
berdigestyakh,0,77,62.1,126.7,37.81,5.95
atasu,0,74,48.68,71.64,30.52,2.82
pimentel,32,77,-3.7,-45.5,79.12,3.71
praia,0,64,-20.25,-43.81,68.83,13.87
hermanus,64,83,-34.42,19.24,53.2,10.54
hithadhoo,8,100,-0.6,73.08,83.89,16.02
turukhansk,56,100,65.8,87.96,30.97,5.06
port alfred,8,100,-33.59,26.89,58.96,7.29
lumut,0,67,-8.46,120.34,74.71,4.27
bilibino,44,59,68.06,166.44,48.97,4.38
tuy hoa,24,100,13.08,109.3,76.33,6.17
skjervoy,92,100,70.03,20.97,49.33,12.44
fukue,75,78,35.03,136.69,71.6,9.17
tommot,92,77,58.97,126.27,40.33,6.4
khatanga,64,98,71.98,102.47,38.8,4.27
pevek,0,90,69.7,170.27,48.97,12.21
tuatapere,0,83,-46.13,167.69,54.01,17.58
murgab,0,34,37.5,61.97,66.2,6.93
hilo,90,79,19.71,-155.08,78.21,25.28
thompson,75,71,55.74,-97.86,51.8,5.82
kerrobert,75,55,51.92,-109.14,60.8,17.22
batticaloa,0,100,7.71,81.69,76.15,3.94
busselton,92,100,-33.64,115.35,59.95,20.04
naftalan,20,77,40.5,46.82,68.0,9.17
hobart,75,51,-42.88,147.33,59.0,17.22
porto novo,75,77,-23.68,-45.44,62.6,13.87
alexandria,1,84,31.31,-92.44,81.3,3.6
bulgan,44,84,48.81,103.53,36.46,2.59
chegdomyn,92,99,51.13,133.04,53.74,5.17
port hedland,0,20,-20.31,118.58,82.4,13.87
savalou,68,100,7.93,1.98,71.02,3.27
tiksi,0,89,71.64,128.87,35.92,3.15
reconquista,64,60,-29.14,-59.64,72.55,12.21
carnarvon,0,79,-30.97,22.13,31.06,4.61
punta arenas,90,61,-53.16,-70.91,46.4,24.16
port elizabeth,20,93,39.31,-74.98,76.19,5.82
guanica,75,69,17.97,-66.91,80.6,16.11
saint-francois,0,77,46.42,3.91,66.2,3.36
la ronge,90,93,55.1,-105.3,46.4,14.99
alofi,75,83,-19.06,-169.92,77.0,11.41
urucara,64,90,-2.54,-57.76,77.59,2.59
byron bay,0,49,-28.65,153.62,73.4,12.75
chuguyevka,32,75,44.17,133.87,58.96,3.15
kedougou,88,95,12.56,-12.19,72.91,2.82
saint george,40,88,39.45,22.34,62.6,4.7
torrox,76,83,36.76,-3.95,72.5,2.24
albany,90,87,42.65,-73.75,67.93,2.26
udachnyy,44,75,66.42,112.4,33.49,5.17
jasper,1,70,33.83,-87.28,81.34,3.04
sao joao da barra,75,77,-21.64,-41.05,69.8,11.77
zhangjiakou,88,100,40.77,114.88,51.22,2.82
savannakhet,40,88,16.57,104.76,77.0,2.24
kutum,0,72,14.2,24.66,66.43,1.14
inhambane,0,98,-23.87,35.38,68.41,14.34
maniitsoq,0,93,65.42,-52.9,38.17,5.28
saint-philippe,1,77,45.36,-73.48,66.16,2.24
samarai,88,94,-10.62,150.67,79.57,17.02
guilin,75,94,25.28,110.29,69.8,4.47
nanortalik,0,99,60.14,-45.24,37.09,1.92
novo oriente,0,41,-5.54,-40.77,79.93,7.85
secu,0,89,46.99,25.48,46.9,2.71
dunedin,0,62,-45.87,170.5,60.4,16.24
vila velha,0,69,-3.71,-38.6,80.6,9.17
pangnirtung,88,79,66.15,-65.72,37.27,10.2
rancharia,0,37,-22.23,-50.89,78.67,13.11
morondava,0,100,-20.3,44.28,63.82,3.27
hirara,20,83,24.8,125.28,83.34,4.7
margate,75,51,-43.03,147.26,59.0,17.22
kapaa,90,93,22.08,-159.32,84.47,24.16
souillac,0,82,45.6,-0.6,64.4,5.82
biloela,0,47,-24.4,150.51,73.72,4.38
camden,75,90,39.94,-75.12,74.64,11.41
ribeira grande,8,99,38.52,-28.7,74.44,2.15
verkhnyaya inta,92,96,65.99,60.32,44.29,6.62
daru,92,98,7.99,-10.85,72.73,4.27
cabo san lucas,75,70,22.89,-109.91,84.2,12.75
behbahan,24,61,30.59,50.24,82.4,2.71
vaini,0,95,15.34,74.49,63.28,2.48
tasiilaq,76,75,65.61,-37.64,44.6,11.41
butaritari,48,100,3.07,172.79,83.8,7.74
axim,92,100,4.87,-2.24,76.33,7.74
lebu,80,90,8.96,38.73,49.42,3.38
namibe,0,100,-15.19,12.15,63.46,1.81
avarua,20,69,-21.21,-159.78,82.4,10.29
aklavik,75,39,68.22,-135.01,45.41,5.82
iracoubo,0,82,5.48,-53.21,79.66,7.52
cervo,68,93,-22.19,-46.24,58.33,7.63
kavaratti,64,100,10.57,72.64,81.82,11.21
kodiak,20,60,39.95,-94.76,77.0,9.17
kiruna,92,81,67.86,20.23,44.6,9.17
teya,75,94,21.05,-89.07,78.8,6.4
flinders,40,63,-34.58,150.85,60.8,6.93
lasem,20,73,-6.99,112.52,75.2,4.7
sagua la grande,40,66,22.81,-80.07,84.2,5.82
san policarpo,92,100,12.18,125.51,79.66,17.69
kununurra,0,65,-15.77,128.74,77.0,5.82
brae,92,81,60.4,-1.35,52.03,16.11
hay river,20,56,60.82,-115.79,41.0,4.7
saskylakh,12,71,71.97,114.09,38.98,12.44
yellowknife,90,59,62.45,-114.38,35.6,9.17
cururupu,0,75,-1.82,-44.87,79.57,11.43
te kauwhata,0,71,-37.4,175.15,57.2,12.75
port blair,100,97,11.67,92.75,83.08,13.11
geraldton,90,87,49.72,-86.95,60.8,10.29
lochristi,90,100,51.1,3.83,55.78,4.7
vardo,90,90,39.62,-77.74,73.45,2.37
chuy,64,80,-33.69,-53.46,58.87,15.23
kahama,12,53,-3.83,32.6,65.8,8.63
jacareacanga,36,62,-6.22,-57.76,84.79,5.39
sesimbra,0,72,38.45,-9.1,70.77,1.12
magadan,90,87,59.56,150.8,51.8,5.17
jishu,92,93,44.29,126.79,63.28,15.12
labytnangi,92,92,66.66,66.39,39.07,13.67
bonavista,88,96,48.65,-53.11,57.61,7.4
arraial do cabo,75,68,-22.97,-42.02,68.0,8.05
oistins,40,88,13.07,-59.53,78.8,5.82
novomikhaylovskiy,0,80,44.26,38.86,63.46,3.83
wageningen,90,93,51.98,5.66,54.97,1.12
mahebourg,40,82,-20.41,57.7,68.0,1.12
karratha,0,30,-20.74,116.85,72.82,4.94
linkoping,24,81,58.41,15.62,53.6,14.99
yar-sale,36,100,66.83,70.83,40.51,20.94
winslow,0,87,51.94,-0.88,45.27,6.93
bethanien,0,44,-26.5,17.16,38.62,3.94
pochutla,90,83,15.74,-96.47,81.07,6.93
norman wells,20,36,65.28,-126.83,46.4,8.05
kaitangata,76,72,-46.28,169.85,59.5,21.72
sola,20,66,58.89,5.65,55.4,12.75
touros,0,83,-5.2,-35.46,75.7,16.8
sur,0,90,22.57,59.53,82.99,4.94
finschhafen,92,100,-6.6,147.85,70.93,2.37
sumbe,0,100,-11.2,13.84,65.8,3.6
torbay,90,100,47.66,-52.73,59.0,9.17
haines junction,92,57,60.75,-137.51,50.95,2.71
nerchinskiy zavod,44,78,51.31,119.61,48.79,7.18
saint-augustin,75,100,44.83,-0.61,62.6,6.93
airai,0,41,-8.93,125.41,73.09,1.48
isla mujeres,75,83,21.23,-86.73,78.8,4.7
along,100,99,28.17,94.8,65.26,1.7
bressanone,90,87,46.72,11.66,58.39,4.7
paita,0,290,-5.09,-81.11,62.6,12.75
nhulunbuy,0,48,-12.18,136.78,84.2,16.11
palafrugell,40,93,41.92,3.16,66.2,4.7
bandarbeyla,0,84,9.49,50.81,72.91,24.29
crotone,0,100,39.09,17.12,77.68,8.19
isangel,8,100,-19.55,169.27,74.17,15.35
klaksvik,92,93,62.23,-6.59,46.4,12.75
kahului,75,81,20.89,-156.47,77.9,20.8
lethem,68,93,3.38,-59.8,75.16,8.08
tonantins,24,86,-2.86,-67.77,79.57,3.94
santa barbara,1,67,34.42,-119.7,72.64,8.05
gazojak,0,36,41.19,61.4,60.67,11.54
berezovyy,76,86,51.67,135.7,55.63,3.27
borovskoy,0,59,53.8,64.15,45.73,11.43
ternate,100,100,14.29,120.72,78.13,4.61
khor,100,100,47.88,134.96,58.87,9.98
san borja,8,57,-14.86,-66.75,81.64,2.71
victoria,75,88,5.28,115.24,80.6,2.24
bathsheba,40,88,13.22,-59.52,78.8,5.82
zhigansk,0,88,66.77,123.37,38.17,2.71
avera,40,80,33.19,-82.53,80.13,9.17
beringovskiy,92,97,63.05,179.32,50.32,9.19
palmer,75,55,61.6,-149.11,64.81,4.7
xingyi,92,97,24.19,102.82,62.56,3.38
kruisfontein,0,100,-34.0,24.73,53.92,6.85
puerto ayora,90,78,-0.74,-90.35,73.4,16.11
goderich,64,86,43.74,-81.71,68.41,2.48
yeppoon,20,53,-23.13,150.74,75.2,5.82
gravdal,92,66,59.79,5.78,55.4,18.34
fougamou,92,99,-1.22,10.59,70.84,2.37
kaspiysk,0,43,42.88,47.64,69.8,6.71
gubkinskiy,0,83,64.43,76.5,22.69,2.93
comodoro rivadavia,0,71,-45.87,-67.48,57.2,19.46
lompoc,1,65,34.64,-120.46,69.48,13.87
ilo,76,100,-17.65,-71.34,54.1,2.59
east london,88,100,-33.02,27.91,65.35,8.63
pinas,90,93,43.12,0.44,64.4,4.7
ancud,68,84,-41.87,-73.83,46.36,3.04
padang,80,100,-0.92,100.36,80.74,1.36
rock sound,36,100,24.9,-76.2,84.61,4.16
north kessock,64,76,57.5,-4.24,50.63,16.11
port lincoln,36,83,-34.72,135.86,59.59,15.23
cherskiy,92,76,68.75,161.3,41.95,11.88
tulu bolo,92,98,8.66,38.21,51.76,1.59
cuiluan,0,87,47.72,128.65,61.21,6.06
ormara,92,95,25.21,64.64,77.77,8.63
barrow,8,95,-38.31,-60.23,46.45,6.29
rantoul,1,67,40.31,-88.16,74.28,3.36
kalmunai,8,99,7.42,81.82,71.92,4.38
lahaina,90,94,20.87,-156.68,78.15,21.92
yakeshi,0,79,49.28,120.73,51.31,11.43
benemerito de las americas,64,70,16.52,-90.64,82.18,1.36
mlonggo,0,96,-6.53,110.7,74.71,6.29
kloulklubed,90,70,7.04,134.26,84.2,21.92
iqaluit,90,100,63.75,-68.52,33.8,10.29
provideniya,75,87,64.42,-173.23,48.2,11.18
sawtell,0,68,-30.38,153.1,69.8,10.29
zabid,24,38,14.2,44.5,61.21,3.83
lodja,64,98,-3.52,23.6,68.86,2.37
podgorenskiy,0,76,50.4,39.64,53.11,2.71
miajadas,24,79,39.15,-5.91,71.29,3.49
naze,75,94,5.43,7.07,77.0,5.39
hovd,75,81,63.83,10.7,51.87,19.46
kaeo,0,68,-35.1,173.78,63.01,3.83
bethel,20,74,60.79,-161.76,55.94,9.17
ixtapa,75,94,20.71,-105.21,82.4,6.93
cancun,90,88,21.17,-86.85,78.8,3.36
yarada,24,100,17.65,83.27,83.53,16.69
amarante,20,100,41.27,-8.08,59.05,2.24
la asuncion,64,94,-1.64,-78.74,46.72,0.92
mehamn,92,100,71.03,27.85,49.6,3.49
fortuna,0,88,38.18,-1.13,73.4,2.24
rawson,0,34,-43.3,-65.11,46.9,4.72
maroua,8,80,10.6,14.33,68.95,2.71
gazanjyk,0,84,39.24,55.52,65.62,5.5
vodstroy,0,54,48.84,44.56,59.0,4.47
abu kamal,32,17,34.45,40.92,90.64,9.42
kavieng,56,100,-2.57,150.8,84.16,9.19
talnakh,8,100,69.49,88.39,28.27,4.94
ambovombe,0,97,-25.18,46.09,64.99,10.09
windsor,90,82,42.3,-83.03,70.36,3.36
longhua,90,93,29.21,106.21,66.2,4.47
laguna,20,50,27.52,-110.01,95.0,5.82
killam,88,85,52.79,-111.86,45.64,14.12
raudeberg,92,71,61.99,5.14,53.6,14.99
clyde river,90,100,70.47,-68.59,35.6,11.41
okha,20,84,53.59,142.95,61.21,5.73
buchanan,75,94,5.88,-10.05,75.2,4.61
toyooka,75,100,35.55,134.82,69.21,5.82
jiangyou,100,100,31.78,104.73,60.22,3.38
guider,8,80,9.93,13.94,66.52,2.93
oussouye,20,83,12.49,-16.54,77.88,4.7
kendari,8,74,-3.99,122.52,78.04,1.81
houma,36,75,35.63,111.36,62.47,4.61
acari,0,53,-6.44,-36.64,73.81,14.0
timbiqui,88,100,2.77,-77.67,74.26,3.15
tateyama,75,94,36.66,137.31,69.8,1.12
polson,20,33,47.69,-114.16,57.79,2.71
palora,20,96,-1.7,-77.97,63.37,3.6
san patricio,68,77,-26.98,-56.83,73.99,2.71
vilhena,56,61,-12.74,-60.15,77.0,2.24
caravelas,68,100,-17.73,-39.27,73.99,15.46
muli,0,92,22.62,71.45,73.45,9.53
ilebo,0,98,-4.33,20.59,68.68,1.36
quelimane,0,85,-17.88,36.89,62.56,3.71
sitka,0,49,37.17,-99.65,81.91,17.58
praia da vitoria,20,94,38.73,-27.07,73.4,5.17
vao,88,80,59.1,26.19,53.56,15.79
hofn,20,100,64.25,-15.21,45.01,2.37
coihaique,90,75,-45.58,-72.07,44.29,5.82
severo-kurilsk,0,93,50.68,156.12,51.94,6.17
aktau,0,63,43.65,51.16,62.6,6.71
duartina,0,45,-22.41,-49.41,74.44,15.12
rio grande,8,85,-32.03,-52.1,61.66,18.03
moura,0,78,38.14,-7.45,71.6,5.82
saldanha,0,65,41.42,-6.55,62.02,3.83
timbiras,8,82,-4.26,-43.94,77.14,2.15
chokurdakh,92,98,70.62,147.9,37.27,20.27
puerto del rosario,76,73,28.5,-13.86,77.99,8.05
bridlington,36,87,54.08,-0.19,47.14,2.24
bambous virieux,40,82,-20.34,57.76,68.0,1.12
longyearbyen,20,69,78.22,15.63,33.8,24.16
seoul,0,60,37.57,126.98,71.04,8.05
coxim,0,67,-18.5,-54.75,74.8,2.15
kizema,100,86,61.11,44.83,54.46,22.62
revyakino,0,67,54.37,37.66,63.91,15.01
roebourne,0,30,-20.77,117.15,72.82,4.94
loandjili,75,88,-4.77,11.87,75.2,8.05
luanda,20,94,-8.83,13.24,68.0,4.7
pierre,1,42,44.37,-100.35,87.98,29.97
oksfjord,92,81,70.24,22.35,53.6,10.29
scarborough,92,87,54.28,-0.41,49.71,2.24
auki,12,71,12.18,6.51,71.47,8.19
omboue,92,100,-1.57,9.26,76.24,10.98
arys,0,38,42.43,68.8,59.0,6.71
rorvik,92,100,64.86,11.24,51.85,10.98
cockburn town,12,97,21.46,-71.14,84.07,14.34
biltine,76,53,14.53,20.93,78.76,3.94
henties bay,0,100,-22.12,14.28,52.57,5.39
newcastle,0,37,-27.76,29.92,43.39,5.73
bocas del toro,64,100,9.33,-82.25,79.57,1.81
lalmohan,76,93,22.34,90.74,82.27,10.31
marsabit,0,61,2.34,37.99,70.39,10.09
bako,48,96,9.68,6.4,71.11,4.27
lakshmipur,68,96,22.94,90.83,81.01,8.75
konevo,88,90,41.67,25.61,60.94,6.06
issia,92,98,6.49,-6.58,69.85,3.6
kailua,90,96,21.39,-157.74,77.86,18.34
constitucion,75,36,23.99,-104.67,77.0,9.17
nelson,75,76,49.49,-117.29,55.4,2.24
xichang,92,100,27.88,102.25,52.75,1.59
yicheng,80,79,31.71,112.27,71.02,3.94
luderitz,0,88,-26.65,15.16,51.85,14.45
georgetown,75,78,6.8,-58.16,81.19,9.17
fairbanks,90,71,64.84,-147.72,56.7,9.17
sovetskiy,68,48,56.76,48.47,65.71,19.93
abu zabad,0,97,12.35,29.25,70.84,6.62
pitiquito,0,16,30.68,-112.05,100.72,9.64
cerrito,40,78,6.84,-72.7,71.6,5.82
husavik,88,71,50.56,-96.99,59.23,13.78
nchelenge,68,50,-9.35,28.74,70.12,5.95
adrar,8,29,27.87,-0.29,87.8,13.87
galle,1,74,29.74,-97.91,80.58,8.05
matagami,20,91,9.67,8.4,64.54,3.38
cidreira,12,79,-30.17,-50.22,62.02,20.04
golkoy,80,92,40.69,37.62,57.34,1.48
sabancuy,12,100,18.97,-91.18,83.44,7.74
pljevlja,0,87,43.36,19.36,51.8,1.12
qasigiannguit,20,80,68.82,-51.19,35.6,3.36
katsuura,75,94,33.93,134.5,69.8,8.05
joensuu,75,87,62.6,29.76,50.0,12.75
pringsewu,12,87,-5.36,104.98,71.47,2.15
